Question,Answer
"A village starts with a population of 120 people. Each year, the population increases by 20%. After 3 years at this growth rate, a nearby town of 50 people joins the village. Assuming the 20% growth rate continues after the merger, what will the population of the combined village be 2 years later?","Start with 120 people and increase by 20% each year for 3 years:
Year 1: 120 * 1.20 = <<120*1.20=144>>144
Year 2: 144 * 1.20 = <<144*1.20=172.8>>173
Year 3: 173 * 1.20 = <<173*1.20=207.6>>208
After 3 years, the population is 208. The town of 50 people joins, so the total is now 208 + 50 = <<208+50=258>>258.
Increase this population by 20% for 2 more years:
Year 4: 258 * 1.20 = <<258*1.20=309.6>>310
Year 5: 310 * 1.20 = <<310*1.20=372>>372
Therefore, 2 years after the merger, the combined village population will be 372.
#### 372"
"A company is developing new software and wants to predict its user growth over the next 5 years. In the first year, they expect to have 1,000 users. Each year after that, they anticipate the number of users will grow by 40% compared to the previous year. How many users can the company expect to have at the end of the 5th year?","In the first year, the company will have 1,000 users.
In the second year, the number of users will grow by 40%, which is 1,000 * 1.4 = <<1000*1.4=1400>>1,400 users.
In the third year, the number of users will grow by 40% from the second year, which is 1,400 * 1.4 = <<1400*1.4=1960>>1,960 users.
In the fourth year, the number of users will grow by 40% from the third year, which is 1,960 * 1.4 = <<1960*1.4=2744>>2,744 users.
In the fifth year, the number of users will grow by 40% from the fourth year, which is 2,744 * 1.4 = <<2744*1.4=3842>>3,842 users.
#### 3842"
"A small biotech company is developing a new strain of bacteria that doubles in population every 4 hours. If they start with a sample of 1000 bacteria, how many bacteria will be present after 2 days?","There are 24 hours in a day, so in 2 days there are 48 hours.
Since the bacteria double every 4 hours, we need to find out how many 4-hour periods are in 48 hours.
48 hours / 4 hours per period = <<48/4=12>>12 periods of 4 hours each.
Starting with 1000 bacteria, doubling 12 times:
After 1st period: 1000 * 2 = <<1000*2=2000>>2000
After 2nd period: 2000 * 2 = <<2000*2=4000>>4000
After 3rd period: 4000 * 2 = <<4000*2=8000>>8000
After 4th period: 8000 * 2 = <<8000*2=16000>>16000
After 5th period: 16000 * 2 = <<16000*2=32000>>32000
After 6th period: 32000 * 2 = <<32000*2=64000>>64000
After 7th period: 64000 * 2 = <<64000*2=128000>>128000
After 8th period: 128000 * 2 = <<128000*2=256000>>256000
After 9th period: 256000 * 2 = <<256000*2=512000>>512000
After 10th period: 512000 * 2 = <<512000*2=1024000>>1024000
After 11th period: 1024000 * 2 = <<1024000*2=2048000>>2048000
After 12th period: 2048000 * 2 = <<2048000*2=4096000>>4096000
Therefore, after 2 days (48 hours), there will be 4096000 bacteria.
#### 4096000"
"A landscaping company is tasked with planting trees in a new park. They start by planting 10 trees on the first day. Each day after that, they plant 15% more trees than the day before. How many trees will they have planted after 5 days of work?","On day 1, they plant 10 trees.
On day 2, they plant 10 * 1.15 = <<10*1.15=11.5>>12 trees (rounded to the nearest whole number).
On day 3, they plant 12 * 1.15 = <<12*1.15=13.8>>14 trees.
On day 4, they plant 14 * 1.15 = <<14*1.15=16.1>>16 trees.
On day 5, they plant 16 * 1.15 = <<16*1.15=18.4>>18 trees.
In total, they have planted 10 + 12 + 14 + 16 + 18 = <<10+12+14+16+18=70>>70 trees after 5 days.
#### 70"
"A small business starts with $5,000 in capital. Each year, the business grows its capital by 20% through investments and profits. After growing for 4 years, the owner decides to make a one-time additional investment of $10,000 into the business. If the business then continues to grow at the same 20% rate for another 3 years, how much capital will the business have at the end of the 7 total years of growth?","After 1 year: $5,000 * 1.20 = <<5000*1.20=6000>>$6,000
After 2 years: $6,000 * 1.20 = <<6000*1.20=7200>>$7,200 
After 3 years: $7,200 * 1.20 = <<7200*1.20=8640>>$8,640
After 4 years: $8,640 * 1.20 = <<8640*1.20=10368>>$10,368
After adding $10,000: $10,368 + $10,000 = <<10368+10000=20368>>$20,368
After 5 years: $20,368 * 1.20 = <<20368*1.20=24442>>$24,442 
After 6 years: $24,442 * 1.20 = <<24442*1.20=29330>>$29,330
After 7 years: $29,330 * 1.20 = <<29330*1.20=35196>>$35,196
#### 35196"
"A bakery sells cookies in boxes of one dozen. The number of cookie boxes they sell per day increases by 10% each day. If they sold 500 boxes on the first day, how many boxes will they sell on the fifth day?","On the first day, they sold 500 boxes.
To calculate 10% of 500, multiply 500 by 0.1: 500*0.1=<<500*0.1=50>>50
On the second day, they will sell 500+50=<<500+50=550>>550 boxes.
On the third day, they will sell 550*1.1=<<550*1.1=605>>605 boxes.
On the fourth day, they will sell 605*1.1=<<605*1.1=665.5>>666 boxes (rounded to the nearest whole number).
On the fifth day, they will sell 666*1.1=<<666*1.1=732.6>>733 boxes (rounded to the nearest whole number).
#### 733"
"A small business is trying to grow its customer base. It currently has 50 customers, and each customer spends an average of $20 per visit. The business expects to grow its customer base by 15% each month for the next 4 months. If the average spending per customer remains the same, how much total revenue will the business generate from its customers over the 4-month period?","Month 1: 50 customers * 1.15 growth = <<50*1.15=57.5>>58 customers, 58 * $20 = <<58*20=1160>>$1,160 revenue
Month 2: 58 customers * 1.15 growth = <<58*1.15=66.7>>67 customers, 67 * $20 = <<67*20=1340>>$1,340 revenue
Month 3: 67 customers * 1.15 growth = <<67*1.15=77.05>>78 customers, 78 * $20 = <<78*20=1560>>$1,560 revenue  
Month 4: 78 customers * 1.15 growth = <<78*1.15=89.7>>90 customers, 90 * $20 = <<90*20=1800>>$1,800 revenue
Total revenue = $1,160 + $1,340 + $1,560 + $1,800 = <<1160+1340+1560+1800=5860>>$5,860
#### 5860"
"A small business has been growing steadily over the past few years. In the first year, the business had a total revenue of $50,000. Each year after that, the revenue increased by 20% compared to the previous year. If this trend continues, what will be the total revenue of the business at the end of the fifth year?","In the first year, the revenue was $50,000.
For the second year, the revenue increased by 20%: $50,000 * 1.20 = <<50000*1.20=60000>>$60,000
For the third year, the revenue increased by another 20%: $60,000 * 1.20 = <<60000*1.20=72000>>$72,000
For the fourth year, the revenue increased by another 20%: $72,000 * 1.20 = <<72000*1.20=86400>>$86,400
For the fifth year, the revenue increased by another 20%: $86,400 * 1.20 = <<86400*1.20=103680>>$103,680
Therefore, at the end of the fifth year, the total revenue of the business will be approximately $103,680.
#### 103680"
"A college has 120 new students enrolling this year. Each year, the number of new students increases by 15%. Assuming this rate stays constant, how many new students will be enrolling 4 years from now?","Year 1: 120 students
Year 2: 120 * 1.15 = <<120*1.15=138>>138 students
Year 3: 138 * 1.15 = <<138*1.15=158.7>>159 students (rounded to the nearest whole number)
Year 4: 159 * 1.15 = <<159*1.15=182.85>>183 students
So, 4 years from now, there will be 183 new students enrolling.
#### 183"
"A company that manufactures smartphones starts with a production capacity of 10,000 units per month. The company plans to increase its production by 20% each month for the next 5 months to meet the growing demand. How many smartphones will the company be producing per month at the end of the 5-month period?","Starting production: 10,000 units per month
Month 1: 10,000 * 1.20 = <<10000*1.20=12000>>12,000 units
Month 2: 12,000 * 1.20 = <<12000*1.20=14400>>14,400 units
Month 3: 14,400 * 1.20 = <<14400*1.20=17280>>17,280 units 
Month 4: 17,280 * 1.20 = <<17280*1.20=20736>>20,736 units
Month 5: 20,736 * 1.20 = <<20736*1.20=24883>>24,883 units
At the end of the 5-month period, the company will be producing about 24,883 smartphones per month.
#### 24883"
"A small business starts with 5 employees and plans to expand over the next 4 years. Each year, they will hire a number of new employees equal to half the number of employees they started with the previous year, rounded down to the nearest whole number. How many employees will the business have after 4 years of growth?","The business starts with 5 employees.
After the first year, they will hire half of 5, which is 2.5, rounded down to 2. So after the first year, they have 5+2=<<5+2=7>>7 employees.
After the second year, they will hire half of 7, which is 3.5, rounded down to 3. So after the second year, they have 7+3=<<7+3=10>>10 employees.
After the third year, they will hire half of 10, which is 5. So after the third year, they have 10+5=<<10+5=15>>15 employees.
After the fourth year, they will hire half of 15, which is 7.5, rounded down to 7. So after the fourth year, they have 15+7=<<15+7=22>>22 employees.
#### 22"
"A biologist is studying the growth of a certain species of bacteria in a lab. She starts with a population of 500 bacteria and observes that the population doubles every 4 hours. If this growth rate remains constant, how many bacteria will there be after 20 hours?","The population doubles every 4 hours, so in 20 hours, it will double 20/4 = <<20/4=5>>5 times.
Starting with 500 bacteria:
After 4 hours (1 doubling): 500 * 2 = <<500*2=1000>>1000 bacteria
After 8 hours (2 doublings): 1000 * 2 = <<1000*2=2000>>2000 bacteria 
After 12 hours (3 doublings): 2000 * 2 = <<2000*2=4000>>4000 bacteria
After 16 hours (4 doublings): 4000 * 2 = <<4000*2=8000>>8000 bacteria
After 20 hours (5 doublings): 8000 * 2 = <<8000*2=16000>>16000 bacteria
#### 16000"
"A social media influencer currently has 10,000 followers. She notices that her follower count increases by about 20% each month. Assuming this growth rate remains constant, approximately how many followers will she have after 6 months?","Month 1: 10,000 * 1.20 = <<10000*1.20=12000>>12,000 followers
Month 2: 12,000 * 1.20 = <<12000*1.20=14400>>14,400 followers 
Month 3: 14,400 * 1.20 = <<14400*1.20=17280>>17,280 followers
Month 4: 17,280 * 1.20 = <<17280*1.20=20736>>20,736 followers
Month 5: 20,736 * 1.20 = <<20736*1.20=24883>>24,883 followers
Month 6: 24,883 * 1.20 = <<24883*1.20=29860>>29,860 followers
After 6 months, assuming a constant 20% monthly growth rate, the influencer will have approximately 29,860 followers.
#### 29860"
"A bamboo plant starts at 2 feet tall and grows at a rate of 20% per day. Assuming this growth rate remains constant, how tall will the bamboo plant be after 3 weeks (21 days)?","To calculate the height after 21 days, we need to multiply the initial height by the growth factor (1 + growth rate) raised to the power of the number of days.
The growth factor is 1 + 0.20 = <<1+0.2=1.2>>1.2
The initial height is 2 feet.
After 21 days, the height will be: 2 * 1.2^21 = <<2*1.2^21=76.20>>76.20 feet (rounded to 76 feet)
#### 76"
"A lab is growing bacteria in a petri dish. The population doubles every 4 hours. If the petri dish starts with 500 bacteria cells at noon, how many bacteria cells will be present at midnight?","There are 12 hours between noon and midnight.
The number of 4 hour periods in 12 hours is 12/4=<<12/4=3>>3.
So the population will double 3 times.
After 1 doubling (4 hours), the population will be 500*2=<<500*2=1000>>1000.
After 2 doublings (8 hours), the population will be 1000*2=<<1000*2=2000>>2000.
After 3 doublings (12 hours), the population will be 2000*2=<<2000*2=4000>>4000.
#### 4000"
"A farmer starts with 5 chickens that each lay 3 eggs per day. He sells the eggs for $2 per dozen. The number of chickens doubles each month. After 3 months, how much money will the farmer make in a 30-day month from selling the eggs?","The farmer starts with 5 chickens. 
After 1 month, the farmer has 5*2=<<5*2=10>>10 chickens.
After 2 months, the farmer has 10*2=<<10*2=20>>20 chickens.
After 3 months, the farmer has 20*2=<<20*2=40>>40 chickens.
Each chicken lays 3 eggs per day, so 40 chickens lay 40*3=<<40*3=120>>120 eggs per day.
In a 30-day month, the chickens lay 120*30=<<120*30=3600>>3600 eggs.
3600 eggs is 3600/12=<<3600/12=300>>300 dozen.
At $2 per dozen, the farmer makes 300*2=<<300*2=600>>$600 in a 30-day month.
#### 600"
"A colony of bacteria starts with a population of 1000. The bacteria population doubles every 4 hours. After 20 hours, half of the bacteria die due to lack of nutrients. How many bacteria are left in the colony?","The bacteria population doubles every 4 hours, so after 20 hours it will have doubled 20/4 = <<20/4=5>>5 times.
Each doubling multiplies the population by 2, so after 5 doublings, the population will be 1000 * 2^5 = <<1000*2^5=32000>>32000.
After half the bacteria die, the remaining population is 32000/2 = <<32000/2=16000>>16000.
#### 16000"
"A lab technician is growing bacteria in a petri dish. The bacteria doubles in number every 30 minutes. If the technician starts with a single bacterium, how many bacteria will be present in the petri dish after 3 hours?","In 30 minutes, the single bacterium will double to 1*2=<<1*2=2>>2 bacteria.
After 60 minutes, the 2 bacteria will double to 2*2=<<2*2=4>>4 bacteria.
After 90 minutes, the 4 bacteria will double to 4*2=<<4*2=8>>8 bacteria.
After 120 minutes (2 hours), the 8 bacteria will double to 8*2=<<8*2=16>>16 bacteria.
After 150 minutes, the 16 bacteria will double to 16*2=<<16*2=32>>32 bacteria.
After 180 minutes (3 hours), the 32 bacteria will double to 32*2=<<32*2=64>>64 bacteria.
Therefore, after 3 hours, there will be 64 bacteria present in the petri dish.
#### 64"
"A small tech startup is developing a new app and expects their user base to grow exponentially. They start with 1,000 users in the first month. Each month after that, they anticipate the number of users to triple. How many users will the app have after 6 months of growth at this rate?","In the first month, the app has 1,000 users.
After the second month, the user base will be 1,000 * 3 = <<1000*3=3000>>3,000 users.
After the third month, the user base will be 3,000 * 3 = <<3000*3=9000>>9,000 users.
After the fourth month, the user base will be 9,000 * 3 = <<9000*3=27000>>27,000 users.
After the fifth month, the user base will be 27,000 * 3 = <<27000*3=81000>>81,000 users.
After the sixth month, the user base will be 81,000 * 3 = <<81000*3=243000>>243,000 users.
#### 243,000"
"A population of butterflies in a garden is growing exponentially. Every week, the number of butterflies increases by 20%. If there were initially 50 butterflies in the garden, how many butterflies will be in the garden after 4 weeks?","After 1 week, there will be 50*1.20=<<50*1.20=60>>60 butterflies.
After 2 weeks, there will be 60*1.20=<<60*1.20=72>>72 butterflies. 
After 3 weeks, there will be 72*1.20=<<72*1.20=86.4>>86 butterflies.
After 4 weeks, there will be 86*1.20=<<86*1.20=103.2>>103 butterflies.
#### 103"
"A video game streamer currently has 1000 subscribers on her channel. She noticed that each month, her subscriber count increases by 20% from the previous month. How many subscribers will she have after 6 months if this growth rate continues?","To find the number of subscribers after 6 months, we need to increase the current subscriber count by 20% each month.
Month 1: 1000 * 1.20 = <<1000*1.20=1200>>1200 subscribers
Month 2: 1200 * 1.20 = <<1200*1.20=1440>>1440 subscribers 
Month 3: 1440 * 1.20 = <<1440*1.20=1728>>1728 subscribers
Month 4: 1728 * 1.20 = <<1728*1.20=2074>>2074 subscribers (rounded to the nearest whole number)
Month 5: 2074 * 1.20 = <<2074*1.20=2489>>2489 subscribers (rounded to the nearest whole number)
Month 6: 2489 * 1.20 = <<2489*1.20=2987>>2987 subscribers (rounded to the nearest whole number)
After 6 months, the video game streamer will have approximately 2987 subscribers if the 20% monthly growth rate continues.
#### 2987"
"A company is trying to increase its social media presence. It currently has 1,000 followers. The marketing team believes that for every 5 new posts they make, they will gain 50 new followers. If their goal is to reach 5,000 followers, and they plan to make 5 posts per week, how many weeks will it take them to reach their goal?","The company wants to gain 5000-1000=<<5000-1000=4000>>4000 new followers.
For every 5 posts, they gain 50 followers. To calculate the number of sets of 5 posts needed, we divide 4000 by 50.
4000/50=<<4000/50=80>>80 sets of 5 posts are needed.
Since they plan to make 5 posts per week, it will take them 80/1=<<80/1=80>>80 weeks to reach the goal.
#### 80"
"A scientist is studying the growth of a rare bacterial strain. She starts with a colony of 500 bacteria. Every hour, the colony size increases by 20%. After growing for 6 hours, a portion of the colony is removed for analysis, leaving only 75% of the bacteria remaining. How many bacteria are in the colony after this removal?","The initial colony size is 500 bacteria.
After 1 hour, the colony size is 500 * 1.20 = <<500*1.20=600>>600 bacteria.
After 2 hours, the colony size is 600 * 1.20 = <<600*1.20=720>>720 bacteria.
After 3 hours, the colony size is 720 * 1.20 = <<720*1.20=864>>864 bacteria.
After 4 hours, the colony size is 864 * 1.20 = <<864*1.20=1037>>1037 bacteria (rounded to the nearest whole number).
After 5 hours, the colony size is 1037 * 1.20 = <<1037*1.20=1244>>1244 bacteria.
After 6 hours, the colony size is 1244 * 1.20 = <<1244*1.20=1493>>1493 bacteria.
After the removal of 25% of the bacteria, the remaining colony size is 1493 * 0.75 = <<1493*0.75=1120>>1120 bacteria (rounded to the nearest whole number).
#### 1120"
"A biologist is studying a population of bacteria in a lab. She starts with a single bacterium in a petri dish. Every hour, each bacterium divides into two identical bacteria. After 1 hour there are 2 bacteria, after 2 hours there are 4, after 3 hours there are 8, and so on. How many bacteria will be present in the petri dish after 10 hours?","After 1 hour, there are 2 bacteria.
After 2 hours, there are 2*2=<<2*2=4>>4 bacteria. 
After 3 hours, there are 4*2=<<4*2=8>>8 bacteria.
After 4 hours, there are 8*2=<<8*2=16>>16 bacteria.
After 5 hours, there are 16*2=<<16*2=32>>32 bacteria.
After 6 hours, there are 32*2=<<32*2=64>>64 bacteria.
After 7 hours, there are 64*2=<<64*2=128>>128 bacteria.
After 8 hours, there are 128*2=<<128*2=256>>256 bacteria.
After 9 hours, there are 256*2=<<256*2=512>>512 bacteria.
After 10 hours, there are 512*2=<<512*2=1024>>1024 bacteria.
#### 1024"
"A small business has been growing steadily over the past few years. In the first year, they had 50 customers. Each year, their customer base grows by 20%. If this trend continues, how many customers will they have after 5 years?","In the first year, they had 50 customers.
After the second year, they will have 50 * 1.20 = <<50*1.20=60>>60 customers.
After the third year, they will have 60 * 1.20 = <<60*1.20=72>>72 customers. 
After the fourth year, they will have 72 * 1.20 = <<72*1.20=86.4>>86 customers (rounded to the nearest whole number).
After the fifth year, they will have 86 * 1.20 = <<86*1.20=103.2>>103 customers (rounded to the nearest whole number).
#### 103"
"A restaurant is planning to expand its seating capacity over the next 5 years. Currently, the restaurant has 20 tables that can seat 4 people each. The restaurant plans to add 5 new tables each year for the next 5 years. Additionally, they will add 2 seats to each existing table every other year, starting from the second year. How many people will the restaurant be able to seat after 5 years?","Initially, the restaurant can seat 20 tables * 4 people per table = <<20*4=80>>80 people.
After the first year, they will have 20 + 5 = <<20+5=25>>25 tables, each seating 4 people. So, they can seat 25 * 4 = <<25*4=100>>100 people.
After the second year, they will have 25 + 5 = <<25+5=30>>30 tables, and each table will have 4 + 2 = <<4+2=6>>6 seats. So, they can seat 30 * 6 = <<30*6=180>>180 people.
After the third year, they will have 30 + 5 = <<30+5=35>>35 tables, each seating 6 people. So, they can seat 35 * 6 = <<35*6=210>>210 people.
After the fourth year, they will have 35 + 5 = <<35+5=40>>40 tables, and each table will have 6 + 2 = <<6+2=8>>8 seats. So, they can seat 40 * 8 = <<40*8=320>>320 people.
After the fifth year, they will have 40 + 5 = <<40+5=45>>45 tables, each seating 8 people. So, they can seat 45 * 8 = <<45*8=360>>360 people.
#### 360"
"A bacteria culture starts with 1000 cells and doubles in population every 30 minutes. If this growth rate continues unabated, how many bacterial cells will be present after 3 hours?","The bacteria population doubles every 30 minutes. In 3 hours, there are 3*2=<<3*2=6>>6 doubling periods.
Starting with 1000 cells, after the first doubling period, there will be 1000*2=<<1000*2=2000>>2000 cells.
After the second doubling period, there will be 2000*2=<<2000*2=4000>>4000 cells.
After the third doubling period, there will be 4000*2=<<4000*2=8000>>8000 cells.
After the fourth doubling period, there will be 8000*2=<<8000*2=16000>>16000 cells.
After the fifth doubling period, there will be 16000*2=<<16000*2=32000>>32000 cells.
After the sixth doubling period, there will be 32000*2=<<32000*2=64000>>64000 cells.
Therefore, after 3 hours, there will be 64000 bacterial cells present.
#### 64000"
"A small business owner is trying to increase her profits by 20% each year. If her profits in the first year were $50,000, and she successfully increases them by 20% annually, what will her profits be after 5 years?","In year 1, the profits were $50,000.
To calculate the profits for year 2, multiply the previous year's profits by 1.20 (to represent a 20% increase): $50,000 * 1.20 = <<50000*1.20=60000>>$60,000
For year 3, multiply the previous year's profits by 1.20: $60,000 * 1.20 = <<60000*1.20=72000>>$72,000
For year 4: $72,000 * 1.20 = <<72000*1.20=86400>>$86,400
For year 5: $86,400 * 1.20 = <<86400*1.20=103680>>$103,680
So, after 5 years, the small business owner's profits will be $103,680 if she successfully increases them by 20% each year.
#### 103680"
"A rainwater collection tank is installed on a farm. The tank starts with 500 gallons of water and collects an additional 15% of its current volume each time it rains. If it rains 4 times, how many gallons of water will the tank contain?","The tank starts with 500 gallons.
After the first rain, it will have 500 * 1.15 = <<500*1.15=575>>575 gallons.
After the second rain, it will have 575 * 1.15 = <<575*1.15=661.25>>661 gallons.
After the third rain, it will have 661 * 1.15 = <<661*1.15=760.15>>760 gallons.
After the fourth rain, it will have 760 * 1.15 = <<760*1.15=874>>874 gallons.
#### 874"
"A local company is hosting a large conference and needs to print enough programs for all the attendees. The programs are 12 pages long and will be printed double-sided on standard letter-sized paper. The first page will be printed alone on one side as a cover page. The remaining pages will be printed double-sided. If they are expecting 350 attendees, how many sheets of paper will they need to print all the programs?","The program is 12 pages long, with the first page printed alone on one side. This leaves 11 pages to be printed double-sided.
11 pages printed double-sided will use 11/2=<<11/2=5.5>>6 sheets of paper (rounded up to the nearest whole number).
Add 1 more sheet for the cover page, so each program will use 6+1=<<6+1=7>>7 sheets of paper.
For 350 attendees, they will need 350*7=<<350*7=2450>>2450 sheets of paper.
#### 2450"
"A YouTuber starts a new channel and posts one video. The next week, they post 3 videos. If they continue this pattern of tripling the number of videos posted each week, how many videos will they have posted total after 5 weeks?","Week 1: 1 video
Week 2: 1 * 3 = <<1*3=3>>3 videos
Week 3: 3 * 3 = <<3*3=9>>9 videos
Week 4: 9 * 3 = <<9*3=27>>27 videos
Week 5: 27 * 3 = <<27*3=81>>81 videos
Total videos after 5 weeks: 1 + 3 + 9 + 27 + 81 = <<1+3+9+27+81=121>>121 videos
#### 121"
"A small business is experiencing steady growth in its customer base. In the first month, they gained 20 new customers. Each subsequent month, they notice that their total number of new customers is 50% higher than the previous month. How many new customers will they have gained in total after the 5th month of this trend?","Month 1: 20 new customers
Month 2: 20 * 1.5 = <<20*1.5=30>>30 new customers
Month 3: 30 * 1.5 = <<30*1.5=45>>45 new customers 
Month 4: 45 * 1.5 = <<45*1.5=67.5>>68 new customers (rounded to the nearest whole number)
Month 5: 68 * 1.5 = <<68*1.5=102>>102 new customers
The total number of new customers gained after 5 months is: 20 + 30 + 45 + 68 + 102 = <<20+30+45+68+102=265>>265
#### 265"
