Question,Answer
"Peter's father gave him $300 for his birthday. Peter wants to buy a video game console that costs $420. He already has $50 saved up from before. If Peter earns $15 per day from his part-time job, how many days will it take him to save enough money to buy the video game console?","The video game console costs $420.
Peter already has $50 saved up and his father gave him $300 for his birthday.
So he currently has $50 + $300 = $<<50+300=350>>350.
He still needs $420 - $350 = $<<420-350=70>>70 to buy the video game console.
If Peter earns $15 per day from his part-time job, it will take him $70 / $15 per day = <<70/15=4.67>>5 days to save the remaining amount.
#### 5"
"A family is planning a road trip from Seattle to Los Angeles, which is approximately 1,135 miles. Their car can travel an average of 30 miles per gallon of gas. If the average price of gas is $3.50 per gallon, and they have a budget of $200 for gas, how many miles will they need to make up by taking cheaper transportation like buses or trains?","First, we calculate how many gallons of gas the family can buy with their $200 budget.
$200 / $3.50 per gallon = <<200/3.5=57.14285714285714>>57 gallons (rounded down to stay within budget)
Next, we determine how many miles they can travel with 57 gallons of gas.
57 gallons * 30 miles per gallon = <<57*30=1710>>1,710 miles
To find out how many miles they'll need to make up with cheaper transportation, we subtract the miles they can travel by car from the total trip distance.
1,135 miles - 1,710 miles = <<1135-1710=-575>>-575 miles
Since the result is negative, it means they can complete the entire trip within their budget and won't need to use cheaper transportation.
#### 0"
A restaurant orders 450 pounds of potatoes every 2 weeks. The restaurant uses an average of 15 pounds of potatoes per day. The potatoes cost $0.75 per pound. How much money does the restaurant spend on potatoes over a 6 week period?,"The restaurant orders potatoes every 2 weeks. In a 6 week period, they will order 6 / 2 = <<6/2=3>>3 times.
Each order is for 450 pounds. So for the 6 week period they will order 3 * 450 = <<3*450=1350>>1350 pounds.
At $0.75 per pound, the total cost will be 1350 * $0.75 = $<<1350*0.75=1012.5>>1012.50.
Rounding to the nearest whole number, the restaurant will spend $<<round(1012.5,0)=1013>>1013 on potatoes over the 6 week period.
#### 1013"
"A farm has 120 animals consisting of chickens and cows. Each chicken consumes 5 pounds of feed per week, while each cow needs 40 pounds of feed per week. The farm uses a total of 3100 pounds of feed every week. How many cows are there on the farm?","Let the number of cows be represented by x.
Since the total number of animals is 120 and x represents the number of cows, the number of chickens would be 120 - x.
Each chicken consumes 5 pounds of feed per week, so the amount of feed consumed by chickens is 5(120 - x) = <<5*(120-x)=600-5*x>>600 - 5x pounds.
Each cow consumes 40 pounds of feed per week, so the amount of feed consumed by cows is 40x pounds.
The total feed consumed is 3100 pounds.
Therefore, 600 - 5x + 40x = 3100
35x = <<3100-600=2500>>2500
x = <<2500/35=71.43>>71 (rounded to the nearest whole number)
There are 71 cows on the farm.
#### 71"
"A construction company is building a new office complex. They have already completed 30% of the project in 4 weeks. If the entire project is estimated to take 480,000 person-hours, how many additional person-hours will be needed to complete the remaining 70% of the project?","The entire project is estimated to take 480,000 person-hours.
If 30% of the project took 4 weeks, then 480,000 * 0.3 = <<480000*0.3=144000>>144,000 person-hours have been completed so far.
The remaining 70% of the project is 480,000 * 0.7 = <<480000*0.7=336000>>336,000 person-hours.
Therefore, an additional 336,000 person-hours will be needed to complete the remaining 70% of the project.
#### 336000"
"A train travels at an average speed of 80 miles per hour. It needs to cover a distance of 400 miles. However, due to some technical issues, it was delayed by 30 minutes at the start of the journey. To make up for the lost time, the train increased its average speed by 20%. How much time, in minutes, will the train save with the increased speed compared to its original estimated travel time?","The original estimated time for the train to cover 400 miles at 80 miles per hour would be 400 miles / 80 mph = <<400/80=5>>5 hours.
5 hours is equal to 5 * 60 = <<5*60=300>>300 minutes.
The train's new average speed after a 20% increase is 80 mph * 1.20 = <<80*1.20=96>>96 mph.
At the new speed of 96 mph, the train will cover 400 miles in 400 miles / 96 mph = <<400/96=4.17>>4.17 hours (rounded to 2 decimal places).
4.17 hours is equal to 4.17 * 60 = <<4.17*60=250>>250 minutes.
The train will save 300 minutes - 250 minutes = <<300-250=50>>50 minutes with the increased speed.
#### 50"
"A train travels at a constant speed of 120 kilometers per hour. It needs to travel a total distance of 600 kilometers. Along the way, it makes 4 stops, each lasting 10 minutes. How many hours will the entire journey take, including the stops?","The train is traveling a total of 600 kilometers.
At a speed of 120 km/h, it will take 600 km / 120 km/h = <<600/120=5>>5 hours of pure travel time.
However, the train also makes 4 stops, each lasting 10 minutes.
4 stops * 10 minutes per stop = <<4*10=40>>40 minutes total stopping time.
40 minutes is equal to 40/60 = <<40/60=0.67>>0.67 hours (rounded to 2 decimal places).
So the total journey time is 5 hours of travel + 0.67 hours of stopping = <<5+0.67=5.67>>5.67 hours.
Rounding up, the entire journey will take <<round(5.67)=6>>6 hours.
#### 6"
"A movie theater charges $12 for an adult ticket and $8 for a child ticket. If a group of 7 adults and 5 children purchase tickets, and the group has a coupon for 10% off the total price, how much money will the group save with the coupon?","Without the coupon, the total cost would be:
7 adult tickets at $12 each: 7 * $12 = $<<7*12=84>>84
5 child tickets at $8 each: 5 * $8 = $<<5*8=40>>40
Total cost: $84 + $40 = $<<84+40=124>>124
The coupon provides a 10% discount.
10% of $124 = 0.1 * $124 = $<<0.1*124=12.4>>12.40
Rounding to the nearest dollar, the group will save $<<round(12.4)=12>>12 with the coupon.
#### 12"
"A farmer is transporting his harvest of 2,560 apples in crates. Each crate can hold 32 apples. If the farmer's truck can carry 16 crates per trip, how many trips will the farmer need to make to transport all the apples?","The farmer has a total of 2,560 apples that need to be transported.
Each crate holds 32 apples, so the number of crates needed is 2,560 apples / 32 apples per crate = <<2560/32=80>>80 crates.
The farmer's truck can carry 16 crates per trip.
The number of trips required to transport all the crates is 80 crates / 16 crates per trip = <<80/16=5>>5 trips.
#### 5"
"A museum charges $15 for an adult ticket and $8 for a child ticket. If a group of 2 adults and 3 children visit the museum, and they have a coupon for 10% off the total price, how much will they pay in total?","The cost for the adults is 2 * $15 = $<<2*15=30>>30.
The cost for the children is 3 * $8 = $<<3*8=24>>24.
The total cost before the coupon is $30 + $24 = $<<30+24=54>>54.
The coupon gives them 10% off, which is 0.10 * $54 = $<<0.1*54=5.4>>5.40 (rounded to $<<round(5.4)=5>>5).
The total cost after the coupon is $54 - $5 = $<<54-5=49>>49.
#### 49"
"A cargo ship carries 3 types of containers: small, medium, and large. The small container weighs 500 kg, the medium container 750 kg, and the large container 1000 kg. If the ship is carrying a total of 250 containers with a weight distribution of 40% small, 35% medium, and 25% large, what is the total weight of the cargo in metric tons?","There are a total of 250 containers.
40% of 250 are small containers, so 250 * 0.4 = <<250*0.4=100>>100 small containers.
35% of 250 are medium containers, so 250 * 0.35 = <<250*0.35=87.5>>88 medium containers (rounded to a whole number).
25% of 250 are large containers, so 250 * 0.25 = <<250*0.25=62.5>>63 large containers (rounded to a whole number).
The total weight of the small containers is 100 * 500 kg = <<100*500=50000>>50,000 kg.
The total weight of the medium containers is 88 * 750 kg = <<88*750=66000>>66,000 kg.
The total weight of the large containers is 63 * 1000 kg = <<63*1000=63000>>63,000 kg.
The total weight of all containers is 50,000 + 66,000 + 63,000 = <<50000+66000+63000=179000>>179,000 kg.
Converting to metric tons, 179,000 kg / 1000 kg/ton = <<179000/1000=179>>179 metric tons.
#### 179"
"A factory produces 480 smartphones every 8 hours. If each phone weighs 5.3 ounces, what is the total weight in pounds of the smartphones produced in a 40-hour workweek?","In 8 hours, the factory produces 480 smartphones.
In 40 hours (a workweek), the factory will produce (40 / 8) * 480 = 5 * 480 = <<5*480=2400>>2400 smartphones.
Each smartphone weighs 5.3 ounces.
The total weight of the smartphones in ounces is 2400 * 5.3 = <<2400*5.3=12720>>12720 ounces.
To convert ounces to pounds, we divide by 16 since there are 16 ounces in a pound.
12720 / 16 = <<12720/16=795>>795 pounds.
Therefore, the total weight of the smartphones produced in a 40-hour workweek is 795 pounds.
#### 795"
"A local grocery store is having a sale on apples. The regular price is $1.50 per pound, but during the sale, you can buy 3 pounds for the price of 2 pounds. If Elena wants to buy 12 pounds of apples, how much money will she save by buying them during the sale?","At the regular price, 12 pounds of apples would cost 12 * $1.50 = $<<12*1.50=18.00>>18.00.
During the sale, every 3 pounds costs the same as 2 pounds at the regular price.
This means that 12 pounds (which is 3 pounds * 4) will cost the same as 8 pounds at the regular price.
8 pounds at $1.50 per pound is 8 * $1.50 = $<<8*1.50=12.00>>12.00.
By buying the apples during the sale, Elena will save $18.00 - $12.00 = $<<18.00-12.00=6.00>>6.00.
#### 6"
"Alicia is packing her luggage for a trip. She wants to bring 5 shirts that weigh 0.3 kg each, 3 pants that weigh 0.6 kg each, and 2 jackets that weigh 1.2 kg each. The airline has a weight limit of 10 kg for checked luggage. If Alicia's empty suitcase weighs 2.5 kg, how many kg over or under the weight limit will her packed suitcase be?","The total weight of the shirts is 5 * 0.3 kg = <<5*0.3=1.5>>1.5 kg.
The total weight of the pants is 3 * 0.6 kg = <<3*0.6=1.8>>1.8 kg.
The total weight of the jackets is 2 * 1.2 kg = <<2*1.2=2.4>>2.4 kg.
The total weight of the clothes is 1.5 + 1.8 + 2.4 = <<1.5+1.8+2.4=5.7>>5.7 kg.
The total weight of the packed suitcase is 5.7 kg + 2.5 kg = <<5.7+2.5=8.2>>8.2 kg.
The airline weight limit is 10 kg, so her suitcase will be 10 kg - 8.2 kg = <<10-8.2=1.8>>1.8 kg under the weight limit.
#### 2"
"A train travels at an average speed of 120 km/h. It needs to travel a total distance of 480 km. However, due to some maintenance work on the tracks, it has to slow down to an average speed of 80 km/h for a duration of 2 hours. How much longer will the train take to complete its journey compared to if it could maintain its original speed throughout?","At the original speed of 120 km/h, the train would take 480 km / 120 km/h = <<480/120=4>>4 hours to complete the journey.
For 2 hours, the train has to travel at a reduced speed of 80 km/h. In these 2 hours, it will cover a distance of 80 km/h * 2 h = <<80*2=160>>160 km.
The remaining distance to be covered at the original speed is 480 km - 160 km = <<480-160=320>>320 km.
Time taken to cover the remaining distance at 120 km/h is 320 km / 120 km/h = <<320/120=2.67>>2.67 hours, rounded up to <<round(2.67)=3>>3 hours.
Total time taken with the speed reduction is 2 hours + 3 hours = <<2+3=5>>5 hours.
The delay caused by the speed reduction is 5 hours - 4 hours = <<5-4=1>>1 hour.
#### 1"
"A grocery store is having a sale on canned goods. Each can of soup normally costs $1.25, but during the sale, you can buy 5 cans and get the 6th one free. If Miguel wants to buy 30 cans of soup, how much money will he save by purchasing the soup during this sale compared to the regular price?","At the regular price of $1.25 per can, 30 cans would cost 30 * $1.25 = $<<30*1.25=37.5>>37.50.
With the sale, every 6 cans will cost the same as 5 cans.
To calculate how many groups of 6 cans Miguel can buy, we do 30 / 6 = <<30/6=5>>5.
So, Miguel will be paying for 5 * 5 = <<5*5=25>>25 cans.
At the sale price, Miguel will pay 25 * $1.25 = $<<25*1.25=31.25>>31.25 for 30 cans.
To calculate his savings, we find the difference between the regular price and the sale price: $37.50 - $31.25 = $<<37.5-31.25=6.25>>6.25.
Miguel will save $6.25 by purchasing the soup during the sale.
#### 6"
"In Kenya, the exchange rate is 1 USD = 120.50 KES (Kenyan Shillings). Malik has saved up 18,075 KES for a trip to the United States. Once he arrives, he exchanges his Kenyan Shillings for US Dollars at the airport. He spends $45 on a taxi to his hotel and $80 on food for the first two days. How many US Dollars does Malik have left?","At the exchange rate of 1 USD = 120.50 KES, Malik's 18,075 KES is equivalent to 18,075 KES / 120.50 KES/USD = <<18075/120.50=150>>150 USD.
He spends $45 on the taxi and $80 on food, so $45 + $80 = $<<45+80=125>>125 total spent.
Malik started with $150 and spent $125, so he has $150 - $125 = $<<150-125=25>>25 left.
#### 25"
"A cargo ship is carrying 12,500 kilograms of goods. It needs to transport these goods to a port that is 450 kilometers away. The ship travels at an average speed of 25 kilometers per hour and consumes 50 liters of fuel per hour. If the cost of fuel is $1.20 per liter, how much will the shipping company spend on fuel for this trip?","The distance to the port is 450 kilometers and the ship travels at 25 kilometers per hour. 
To find the time taken, we divide the distance by the speed: 450 km / 25 km/h = <<450/25=18>>18 hours.
The ship consumes 50 liters of fuel per hour. For an 18-hour journey, it will consume 18 * 50 = <<18*50=900>>900 liters of fuel.
The cost of fuel is $1.20 per liter. For 900 liters, the total cost will be 900 * $1.20 = $<<900*1.20=1080>>1080.
Therefore, the shipping company will spend $1080 on fuel for this trip.
#### 1080"
Ariana's car gets 32 miles per gallon of gas. She has a 14 gallon tank. Gas costs $3.79 per gallon. How much will it cost Ariana to fill up her tank when it is 1/4 full?,"Ariana's tank holds 14 gallons.
1/4 of 14 gallons is 14 / 4 = <<14/4=3.5>>3.5 gallons.
So to fill up the tank, she needs 14 - 3.5 = <<14-3.5=10.5>>10.5 gallons.
At $3.79 per gallon, 10.5 gallons will cost 10.5 * $3.79 = $<<10.5*3.79=39.795>>39.80.
#### 40"
"A car dealership has a total of 180 vehicles in their inventory. 60% of the vehicles are sedans, and the remaining vehicles are divided equally between trucks and SUVs. If they plan to increase the number of trucks by 25% while reducing the number of sedans by 10%, how many vehicles of each type will the dealership have?","Initially, the dealership has 180 * 0.6 = <<180*0.6=108>>108 sedans.
The remaining vehicles are 180 - 108 = <<180-108=72>>72.
Since the remaining vehicles are divided equally between trucks and SUVs, there are 72 / 2 = <<72/2=36>>36 trucks and 36 SUVs.
After the changes, the number of sedans will be reduced by 10%, so there will be 108 * 0.9 = <<108*0.9=97>>97 sedans.
The number of trucks will increase by 25%, so there will be 36 * 1.25 = <<36*1.25=45>>45 trucks.
The number of SUVs remains the same at 36.
In total, the dealership will have 97 sedans, 45 trucks, and 36 SUVs, which sums to 97 + 45 + 36 = <<97+45+36=178>>178 vehicles.
#### 178"
"A local charity is collecting donations for their annual fundraiser. They receive a total of $2,475 in donations. The donation amounts consist of $5 bills, $10 bills, and $20 bills. There are twice as many $10 bills as $5 bills, and the number of $20 bills is half the number of $5 bills. How many of each type of bill did they receive?","Let's call the number of $5 bills 'x'.
Then, the number of $10 bills is 2x, and the number of $20 bills is x/2.
The total amount of money is:
5x + 10(2x) + 20(x/2) = 2475
5x + 20x + 10x = 2475
35x = 2475
x = 2475/35 = <<2475/35=70.71428571428571>>71 (rounded to the nearest whole number)
So, there are 71 $5 bills.
The number of $10 bills is 2x = 2 * 71 = <<2*71=142>>142.
The number of $20 bills is x/2 = 71/2 = <<71/2=35.5>>36 (rounded to the nearest whole number).
In total, the charity received:
71 $5 bills
142 $10 bills
36 $20 bills
#### 71
#### 142
#### 36"
A construction company needs to pour a concrete slab that measures 20 feet wide by 30 feet long. The concrete will be 6 inches deep. One cubic yard of concrete covers 27 square feet at a 6-inch depth. Concrete costs $98 per cubic yard. How much will the concrete cost for this project?,"First, we need to calculate the area of the slab in square feet. The slab is 20 feet wide and 30 feet long, so the area is 20 * 30 = <<20*30=600>>600 square feet.
We know that one cubic yard of concrete covers 27 square feet at a 6-inch depth. To find out how many cubic yards we need, we divide the total square footage by 27.
600 square feet / 27 square feet per cubic yard = <<600/27=22.2222>>22.2222 cubic yards. We round this up to <<23>>23 cubic yards to ensure we have enough concrete.
Each cubic yard of concrete costs $98. So for 23 cubic yards, the total cost will be:
23 * $98 = $<<23*98=2254>>2,254
#### 2254"
"A construction company is building a new skyscraper. The skyscraper will be 1,200 feet tall when completed. Each week, the construction crew can build 40 feet of the skyscraper. If the crew works 5 days per week, how many weeks will it take to complete the skyscraper?","The skyscraper will be 1,200 feet tall when completed.
The construction crew can build 40 feet per week.
To calculate the number of weeks:
1,200 feet total / 40 feet per week = <<1200/40=30>>30 weeks
It will take the construction crew 30 weeks to complete the 1,200-foot tall skyscraper.
#### 30"
"A small business owner is planning to convert a spare room in their house into a home office. The room is rectangular, measuring 12 feet long and 9 feet wide. They want to install new carpeting which costs $2.50 per square foot. Additionally, they plan to paint the walls which have an area of 378 square feet and the paint costs $0.75 per square foot. How much will it cost in total to carpet the floor and paint the walls of the new home office?","The room is 12 feet long and 9 feet wide, so the area of the floor is 12 * 9 = <<12*9=108>>108 square feet.
At $2.50 per square foot, the cost to carpet the floor is 108 * $2.50 = $<<108*2.50=270>>270.
The area of the walls is given as 378 square feet.
At $0.75 per square foot, the cost to paint the walls is 378 * $0.75 = $<<378*0.75=283.5>>284 (rounded to the nearest dollar).
The total cost for the carpeting and painting is $270 + $284 = $<<270+284=554>>554.
#### 554"
"A bakery uses 2.5 cups of flour to make a batch of 12 muffins. They have an order for 180 muffins for a local event. If they already have 15 cups of flour, how many more cups do they need to fulfill the order?","To make 12 muffins, they need 2.5 cups of flour.
For 180 muffins, they will need (180 / 12) * 2.5 = <<(180/12)*2.5=37.5>>37.5 cups of flour.
Since they already have 15 cups, they will need 37.5 - 15 = <<37.5-15=22.5>>22.5 more cups.
Rounding up, they need <<round(22.5)=23>>23 more cups of flour to fulfill the order.
#### 23"
"A factory produces 120 smartphones per hour. If each smartphone requires 2.5 hours of testing before being shipped and the factory operates for 16 hours a day, how many days will it take to produce and test an order of 7500 smartphones?","The factory produces 120 * 16 = <<120*16=1920>>1920 smartphones per day.
Each smartphone requires an additional 2.5 hours of testing.
To convert this to days, we calculate 2.5 hours / 16 hours per day = <<2.5/16=0.15625>>0.15625 days of testing per smartphone.
So to produce and test 1 smartphone, it takes 1 + 0.15625 = <<1+0.15625=1.15625>>1.15625 days.
To produce and test 7500 smartphones, it will take 7500 * 1.15625 = <<7500*1.15625=8671.875>>8671.875 days.
Rounding up, it will take <<round(8671.875)=8672>>8672 days to produce and test the order of 7500 smartphones.
#### 8672"
"A painting crew can paint a 2400 square foot house in 3 days. The crew charges $1800 for labor and an additional $500 for paint and supplies. If the crew works 8 hours per day, what is the labor cost per hour?","The crew works for 3 days, 8 hours per day, so they work for a total of 3 * 8 = <<3*8=24>>24 hours.
The total cost for the job is $1800 + $500 = $<<1800+500=2300>>2300.
The cost for paint and supplies is $500, so the labor cost is $2300 - $500 = $<<2300-500=1800>>1800.
The labor cost per hour is $1800 / 24 hours = $<<1800/24=75>>75 per hour.
#### 75"
"A factory produces 120 cars per day. Each car requires 4 tires and 1 steering wheel. If the factory has 3000 tires and 400 steering wheels in stock, how many more days can they continue production before running out of either part?","The factory produces 120 cars per day, and each car needs 4 tires.
So, the factory uses 120 * 4 = <<120*4=480>>480 tires per day.
They have 3000 tires in stock, so they can continue for 3000 / 480 = <<3000/480=6.25>>6 days before running out of tires.
Each car also needs 1 steering wheel, so the factory uses 120 * 1 = <<120*1=120>>120 steering wheels per day.
They have 400 steering wheels in stock, so they can continue for 400 / 120 = <<400/120=3.33333333333333>>3 days before running out of steering wheels.
Therefore, the factory can continue production for 3 days before running out of steering wheels, which will happen before they run out of tires.
#### 3"
"A recipe for making 12 waffles calls for 3 cups of flour, 2 cups of milk, and 4 eggs. If Samantha wants to make 36 waffles for a school fundraiser, how many cups of milk will she need?","First, we calculate how many batches of 12 waffles Samantha needs to make to get 36 waffles total.
36 waffles / 12 waffles per batch = <<36/12=3>>3 batches
For each batch, Samantha needs 2 cups of milk.
3 batches * 2 cups per batch = <<3*2=6>>6 cups of milk total
#### 6"
"Jennifer is saving up to buy a new laptop that costs $1,200. She currently has $350 in her savings account. Jennifer earns $15 per hour at her part-time job and works 20 hours per week. She plans to put 40% of her weekly earnings towards the laptop. How many weeks will it take Jennifer to save enough money to buy the laptop?","Jennifer needs to save $1,200 - $350 = $<<1200-350=850>>850 more to buy the laptop.
She earns $15 * 20 hours = $<<15*20=300>>300 per week at her part-time job.
Each week, she will put 40% of $300 towards the laptop, which is 0.4 * $300 = $<<0.4*300=120>>120.
To save the remaining $850, it will take her $850 / $120 per week = <<850/120=7.0833333333333>>7 weeks.
#### 7"
"A factory produces 2400 cans of soda per hour. If each case holds 24 cans, and the factory operates for 8 hours per day, how many full cases can be filled in 5 days?","The factory produces 2400 cans per hour.
In a day of 8 hours, it produces 2400 * 8 = <<2400*8=19200>>19200 cans.
In 5 days, the total number of cans produced is 19200 * 5 = <<19200*5=96000>>96000 cans.
Since each case holds 24 cans, the number of full cases filled in 5 days is 96000 / 24 = <<96000/24=4000>>4000 cases.
#### 4000"
"A company is hosting a conference and needs to provide lunch for the attendees. They have a budget of $1200 for the lunch. The catering company charges $18 per person for a basic lunch and $24 per person for a deluxe lunch. If the company wants to provide the deluxe lunch to as many people as possible while still providing the basic lunch to the remaining attendees, how many of each type of lunch should they order to maximize the number of attendees served while staying within their budget?","Let's approach this step by step. We know the company has a total budget of $1200. 
Each deluxe lunch costs $24 and each basic lunch costs $18.
To maximize the number of deluxe lunches while staying in budget, we should see how many deluxe lunches we can afford first.
$1200 / $24 per deluxe lunch = <<1200/24=50>>50 deluxe lunches
So if they got 50 deluxe lunches it would cost 50 * $24 = $<<50*24=1200>>1200, using up the entire budget.
But if they got 49 deluxe lunches instead, it would cost 49 * $24 = $<<49*24=1176>>1176, leaving $1200 - $1176 = $<<1200-1176=24>>24 for basic lunches.
With the remaining $24, they could afford $24 / $18 per basic lunch = <<24/18=1.33333333333>>1 basic lunch. (Rounded down since partial lunches aren't possible)
Therefore, to maximize attendees while staying in budget, they should order 49 deluxe lunches and 1 basic lunch, serving a total of 49 + 1 = <<49+1=50>>50 attendees.
#### 50"
