Question,Answer
"Caroline is planning a surprise birthday party for her father. Her father is currently 52 years old and her mother is 4 years younger than him. If Caroline was born when her mother was 26, how old will Caroline be when her father turns 80?","Caroline's father is currently 52 years old, so her mother is 52 - 4 = <<52-4=48>>48 years old.
If Caroline was born when her mother was 26, then Caroline is currently 48 - 26 = <<48-26=22>>22 years old.
In 80 - 52 = <<80-52=28>>28 years, Caroline's father will turn 80.
At that time, Caroline will be 22 + 28 = <<22+28=50>>50 years old.
#### 50"
"Zoe is currently 36 years old. Her daughter Lily is one-fourth her age, and her son Ethan is half of Lily's age. In how many years will the sum of Zoe's and her children's ages be 100?","Lily is 36 / 4 = <<36/4=9>>9 years old.
Ethan is half of Lily's age, so 9 / 2 = <<9/2=4.5>>5 years old (rounded to the nearest whole number).
The current sum of their ages is 36 + 9 + 5 = <<36+9+5=50>>50 years old.
To find how many years until the sum of their ages is 100, we calculate 100 - 50 = <<100-50=50>>50 years.
In 50 years, the sum of Zoe's and her children's ages will be 100.
#### 50"
"Jane is 32 years old and her daughter Sophie is 4 years old. Jane's mother, Rachel, is 28 years older than Jane. How old will Sophie be when the sum of her age and Rachel's age equals Jane's age?","We know that Jane is 32 years old and Rachel is 28 years older than Jane.
So, Rachel's current age is 32 + 28 = <<32+28=60>>60 years old.
Let's assume Sophie's age when the sum of her age and Rachel's age equals Jane's age is x.
Then, x + (60 + x) = 32 + x
Simplifying, 2x + 60 = 32 + x
Further simplifying, x + 60 = 32
Therefore, x = 32 - 60 = <<32-60=-28>>-28
Since negative age is not possible, we understand that this situation has already happened in the past.
When Jane was 32 - 28 = <<32-28=4>>4 years old, the sum of Sophie's age (which would be 0 as she was just born) and Rachel's age would have been equal to Jane's age.
#### 0"
"Abigail is 12 years younger than her brother Liam. In 6 years, Liam will be twice as old as Abigail. How old is Liam now?","Let's say Liam is L years old now. Then Abigail is L - 12 years old now.
In 6 years, Liam will be L + 6 years old and Abigail will be (L - 12) + 6 = L - 6 years old.
We know that in 6 years, Liam will be twice Abigail's age, so:
L + 6 = 2(L - 6)
L + 6 = 2L - 12
6 = L - 12
L = 6 + 12 = <<6+12=18>>18
So Liam is 18 years old now.
#### 18"
"In the year 2000, Alice was 3 times as old as her son Bob. By 2030, Alice's age will be 10 years less than twice Bob's age. How old will Bob be in 2030?","Let's say Bob was x years old in 2000. Then, Alice would be 3x years old in 2000.
In the 30 years from 2000 to 2030, both Alice and Bob will age by 30 years.
So in 2030, Alice will be 3x + 30 years old, and Bob will be x + 30 years old.
We're told that in 2030, Alice's age will be 10 years less than twice Bob's age.
In equation form: 3x + 30 = 2(x + 30) - 10
Simplifying: 3x + 30 = 2x + 60 - 10
            3x + 30 = 2x + 50
            x = 20
So Bob was 20 in 2000, and will be 20 + 30 = <<20+30=50>>50 years old in 2030.
#### 50"
"Jayden is 12 years old, and his sister Olivia is 4 years younger than him. Their cousin, Liam, is twice as old as Olivia. If Liam is currently 16 years old, how old will Jayden be when Liam turns 30?","Since Liam is 16 and twice as old as Olivia, Olivia must be 16 / 2 = <<16/2=8>>8 years old now.
Jayden is 4 years older than Olivia, so Jayden is currently 8 + 4 = <<8+4=12>>12 years old.
In 30 - 16 = <<30-16=14>>14 years, Liam will be 30 years old.
At that time, Jayden will also be 14 years older.
So when Liam is 30, Jayden will be 12 + 14 = <<12+14=26>>26 years old.
#### 26"
Jacob is 18 years younger than his father. His father is currently 3 times as old as Jacob. How old will Jacob be in 12 years?,"Let's say Jacob is currently x years old.
His father is then x + 18 years old.
We know that his father's age is also 3 times Jacob's age, so:
x + 18 = 3x
18 = 3x - x
18 = 2x
x = 18 / 2 = <<18/2=9>>9
So, Jacob is currently 9 years old.
In 12 years, Jacob will be 9 + 12 = <<9+12=21>>21 years old.
#### 21"
"When Betty was born, her older brother Doug was 9 years old. In 5 years, Doug will be twice as old as Betty. How old will Betty be when Doug is 30?","Let's solve for Betty's age now. In 5 years, Doug will be 9 + 5 = <<9+5=14>>14 years older than Betty.
If Doug will be twice Betty's age in 5 years, then 14 = 2x where x is Betty's age in 5 years.
Solving, x = 14/2 = <<14/2=7>>7. So in 5 years Betty will be 7 years old.
Right now, Betty is 7 - 5 = <<7-5=2>>2 years old.
Doug is currently 9 + 2 = <<9+2=11>>11 years old.  
In 30 - 11 = <<30-11=19>>19 years, Doug will be 30.
At that time, Betty will be 2 + 19 = <<2+19=21>>21 years old.
#### 21"
"Two years ago, Liam was three times as old as his sister Emma. If Emma is currently 9 years old, how old will Liam be in 5 years?","Emma is currently 9 years old. Two years ago, she was 9 - 2 = <<9-2=7>>7 years old.
Since Liam was three times as old as Emma two years ago, Liam was 3 * 7 = <<3*7=21>>21 years old then.
This means Liam is currently 21 + 2 = <<21+2=23>>23 years old.
In 5 years, Liam will be 23 + 5 = <<23+5=28>>28 years old.
#### 28"
"Olivia is 12 years younger than her brother Liam. If Liam will be celebrating his 30th birthday in 6 years, how old was Olivia when Liam turned 21?","Liam is currently 30 - 6 = <<30-6=24>>24 years old.
Since Olivia is 12 years younger than Liam, she is currently 24 - 12 = <<24-12=12>>12 years old.
When Liam was 21, he was 24 - 21 = <<24-21=3>>3 years younger than he is now.
Therefore, when Liam was 21, Olivia was 12 - 3 = <<12-3=9>>9 years old.
#### 9"
"In 1995, John was 5 times as old as his son Tim. In 2020, John will be 3 times as old as Tim. How old was Tim in 1995?","Let's say Tim was x years old in 1995.
Then John was 5x years old in 1995.
From 1995 to 2020 is a period of 25 years.
So in 2020, Tim will be x + 25 years old.
And in 2020, John will be 5x + 25 years old.
We know that John will be 3 times as old as Tim in 2020.
So, 5x + 25 = 3(x + 25)
5x + 25 = 3x + 75
2x = 50
x = <<50/2=25>>25
Therefore, Tim was 25 years old in 1995.
#### 25"
"Emily is 12 years younger than her brother Jack. In 5 years, Jack will be twice as old as Emily. How old will Emily be in 9 years?","Let's say Emily is x years old now. Then Jack is x + 12 years old now.
In 5 years, Emily will be x + 5 years old, and Jack will be x + 12 + 5 = x + 17 years old.
We know that in 5 years, Jack will be twice as old as Emily. So, x + 17 = 2(x + 5)
x + 17 = 2x + 10
17 = x + 10
x = <<17-10=7>>7
So, Emily is 7 years old now.
In 9 years, Emily will be 7 + 9 = <<7+9=16>>16 years old.
#### 16"
"Liam is 12 years younger than his sister Emma. In 5 years, Liam will be 2/3 of Emma's age. How old will Liam and Emma be in 10 years?","Let's express Liam's age in terms of Emma's:
In 5 years, Liam will be 2/3 of Emma's age.
If Emma is x years old now, then in 5 years:
Liam = 2/3 * (x + 5)
We also know Liam is 12 years younger than Emma:
x - 12 = 2/3 * (x + 5)
3x - 36 = 2x + 10
x = 46
So Emma is 46 years old now, and Liam is 46 - 12 = <<46-12=34>>34 years old now.
In 10 years, Emma will be 46 + 10 = <<46+10=56>>56 years old.
In 10 years, Liam will be 34 + 10 = <<34+10=44>>44 years old.
#### 56, 44"
"Kevin is 12 years old. His sister, Amy, is 5 years younger than Kevin. Their cousin, Jack, is twice as old as Amy. In 10 years, what will be the sum of their ages?","Currently, Kevin is 12 years old.
Amy is 5 years younger than Kevin, so Amy is 12 - 5 = <<12-5=7>>7 years old.
Jack is twice as old as Amy, so Jack is 7 * 2 = <<7*2=14>>14 years old.
In 10 years:
Kevin will be 12 + 10 = <<12+10=22>>22 years old.
Amy will be 7 + 10 = <<7+10=17>>17 years old.
Jack will be 14 + 10 = <<14+10=24>>24 years old.
Therefore, in 10 years, the sum of their ages will be 22 + 17 + 24 = <<22+17+24=63>>63 years old.
#### 63"
"Ethan is 12 years younger than his brother Blake. If Blake will be 41 years old in 9 years, how old will Ethan be in 5 years?","If Blake will be 41 years old in 9 years, his current age is 41 - 9 = <<41-9=32>>32 years old.
Since Ethan is 12 years younger than Blake, Ethan's current age is 32 - 12 = <<32-12=20>>20 years old.
In 5 years, Ethan will be 20 + 5 = <<20+5=25>>25 years old.
#### 25"
"In 1990, Joey was 6 times as old as his sister Ava. In 2020, the sum of their ages was 102. How old will Joey be in 2050?","Let's say Ava's age in 1990 was x. Then Joey was 6x years old in 1990.
From 1990 to 2020 is a period of 30 years. So in 2020:
Ava's age = x + 30
Joey's age = 6x + 30
We are told the sum of their ages in 2020 was 102.
x + 30 + 6x + 30 = 102
7x + 60 = 102
7x = 42
x = <<42/7=6>>6
So Ava was 6 in 1990, which means Joey was 6 * 6 = <<6*6=36>>36 in 1990.
From 1990 to 2050 is a period of 60 years.
So in 2050, Joey's age will be 36 + 60 = <<36+60=96>>96.
#### 96"
"Maria is currently 32 years old and her daughter Sophie is 4 years old. Maria's mother, Grandma Anna, is 28 years older than Maria. How old will Grandma Anna be when Sophie is one-third of Maria's current age?","Maria is currently 32 years old, so one-third of her current age is 32 / 3 = <<32/3=10.67>>11 years old (rounded to the nearest whole number).
Sophie is currently 4 years old. To determine how many years it will take for Sophie to be 11, we calculate 11 - 4 = <<11-4=7>>7 years.
Grandma Anna is 28 years older than Maria, so her current age is 32 + 28 = <<32+28=60>>60 years old.
In 7 years, Grandma Anna will be 60 + 7 = <<60+7=67>>67 years old.
#### 67"
"In 2015, Jake was 3 times as old as his sister Lily. If Lily was born in 2009, how old will Jake be in 2024?","If Lily was born in 2009, she was 2015 - 2009 = <<2015-2009=6>>6 years old in 2015.
Jake was 3 times Lily's age in 2015, so he was 3 * 6 = <<3*6=18>>18 years old in 2015.
Jake was born in 2015 - 18 = <<2015-18=1997>>1997.
In 2024, Jake will be 2024 - 1997 = <<2024-1997=27>>27 years old.
#### 27"
"Ryan is 12 years old and his sister Lily is 4 years younger than him. Their cousin Emma is twice as old as Lily. In 10 years, what will be the average age of the three family members?","Ryan is currently 12 years old. 
In 10 years, Ryan will be 12 + 10 = <<12+10=22>>22 years old.
Lily is 4 years younger than Ryan, so she is currently 12 - 4 = <<12-4=8>>8 years old.
In 10 years, Lily will be 8 + 10 = <<8+10=18>>18 years old. 
Emma is twice as old as Lily, so currently Emma is 8 * 2 = <<8*2=16>>16 years old.
In 10 years, Emma will be 16 + 10 = <<16+10=26>>26 years old.
In 10 years, the combined ages will be 22 + 18 + 26 = <<22+18+26=66>>66 years old.
The average age in 10 years will be 66 / 3 = <<66/3=22>>22 years old.
#### 22"
"Mira is currently 32 years old. Her daughter Sofia is 8 years younger than half her age. If Mira's grandmother Eliza is 24 years older than twice Mira's age, how old will Eliza be in 12 years?","Half of Mira's age is 32 / 2 = <<32/2=16>>16 years old.
Sofia is 8 years younger than that, so 16 - 8 = <<16-8=8>>8 years old.
Twice Mira's age is 32 * 2 = <<32*2=64>>64 years old.
Eliza is 24 years older than that, so 64 + 24 = <<64+24=88>>88 years old.
In 12 years, Eliza will be 88 + 12 = <<88+12=100>>100 years old.
#### 100"
"In 1990, Alice was 3 times as old as her son Bob. In 2020, Alice will be twice as old as Bob. If Bob was born in 1984, how old will Alice be in 2026?","Bob was born in 1984, so in 1990 he was 1990 - 1984 = <<1990-1984=6>>6 years old.
In 1990, Alice was 3 times as old as Bob, so she was 3 * 6 = <<3*6=18>>18 years old.
Alice was born in 1990 - 18 = <<1990-18=1972>>1972.
In 2026, Alice will be 2026 - 1972 = <<2026-1972=54>>54 years old.
#### 54"
"A 7th grade class is going on a field trip to the zoo. The students need 4 buses, and each bus carries 48 students. The zoo charges $15 per student and $25 per chaperone for admission. If the 7th grade has 178 students and wants to bring 14 chaperones, how much more money will they need to raise if they currently have $2,625 available?","The 7th grade has 178 students total, and the buses have a capacity of 4 * 48 = <<4*48=192>>192 students.
This means they have enough bus capacity for all the students.
The cost for student admission is 178 * $15 = $<<178*15=2670>>2,670.
The cost for chaperone admission is 14 * $25 = $<<14*25=350>>350.
The total cost for admission is $2,670 + $350 = $<<2670+350=3020>>3,020.
They currently have $2,625 available.
To calculate how much more they need, we do $3,020 - $2,625 = $<<3020-2625=395>>395.
The 7th grade will need to raise $395 more for their field trip.
#### 395"
"Zoe is 12 years younger than her brother Jake. Four years from now, Jake's age will be twice Zoe's age. How old will Zoe be in 6 years?","Let's say Zoe is x years old now. Then Jake is x + 12 years old now.
In 4 years, Zoe will be x + 4 years old and Jake will be x + 12 + 4 = x + 16 years old.
We know that in 4 years, Jake's age will be twice Zoe's age, so:
x + 16 = 2(x + 4)
x + 16 = 2x + 8
16 = x + 8
x = <<16-8=8>>8
So Zoe is 8 years old now. In 6 years, she will be 8 + 6 = <<8+6=14>>14 years old.
#### 14"
"Sarah is 12 years younger than her brother Tom. In 8 years, Tom will be twice as old as Sarah. How old will Sarah be in 5 years?","Let's say Sarah is x years old now. Then Tom is x + 12 years old now.
In 8 years, Sarah will be x + 8 years old, and Tom will be x + 12 + 8 = x + 20 years old.
We know that in 8 years, Tom will be twice as old as Sarah. So, x + 20 = 2(x + 8)
x + 20 = 2x + 16
20 = x + 16
x = 20 - 16 = <<20-16=4>>4
So, Sarah is 4 years old now.
In 5 years, Sarah will be 4 + 5 = <<4+5=9>>9 years old.
#### 9"
Albert is 12 years younger than his sister Beatrice. Beatrice was twice as old as Albert 6 years ago. How old will Albert be in 3 years if Beatrice is currently 39 years old?,"Beatrice is currently 39 years old, so 6 years ago she was 39 - 6 = <<39-6=33>>33 years old.
At that time, Albert was half Beatrice's age. If Beatrice was 33, then Albert was 33 / 2 = <<33/2=16.5>>17 years old (rounded to the nearest whole number).
So 6 years ago, Albert was 17. To calculate his current age, we add 6 to his age 6 years ago: 17 + 6 = <<17+6=23>>23.
Albert is currently 23 years old. In 3 years, he will be 23 + 3 = <<23+3=26>>26 years old.
#### 26"
"Bella is 12 years younger than her brother Edward. In 5 years, Edward will be twice as old as Bella. How old is Bella now?","Let's say Bella is x years old now. Then, Edward is x + 12 years old now.
In 5 years, Bella will be x + 5 years old, and Edward will be x + 12 + 5 = x + 17 years old.
We know that in 5 years, Edward will be twice as old as Bella. So, x + 17 = 2(x + 5)
x + 17 = 2x + 10
17 = x + 10
x = <<17-10=7>>7
So, Bella is 7 years old now.
#### 7"
"Maria is currently 24 years old. Her daughter Sophie is 6 times younger than Maria. If Sophie's brother Jack is 3 years older than Sophie, how old will Jack be when Maria turns 60?","Since Sophie is 6 times younger than Maria, Sophie is currently 24 / 6 = <<24/6=4>>4 years old.
Jack is 3 years older than Sophie, so Jack is currently 4 + 3 = <<4+3=7>>7 years old.
When Maria turns 60, it will be 60 - 24 = <<60-24=36>>36 years from now.
At that time, Jack will be 7 + 36 = <<7+36=43>>43 years old.
#### 43"
"Jill is 4 years younger than her sister Kate. In 6 years, Kate will be twice as old as Jill is now. How old will Jill be in 10 years?","Let's denote Jill's current age as J and Kate's current age as K.
We know Jill is 4 years younger than Kate, so K = J + 4.
In 6 years, Kate will be K + 6 years old, and this will be twice Jill's current age.
So, K + 6 = 2J
Substituting K with J + 4, we get:
J + 4 + 6 = 2J
J + 10 = 2J
10 = J
Therefore, Jill is currently 10 years old.
In 10 years, Jill will be 10 + 10 = <<10+10=20>>20 years old.
#### 20"
"Eli is 8 years younger than his brother Aaron. In 5 years, Aaron will be twice as old as Eli. How old will Eli be in 10 years?","Let's say Eli is currently x years old.
Then Aaron is currently x + 8 years old.
In 5 years, Eli will be x + 5 years old.
In 5 years, Aaron will be x + 8 + 5 = x + 13 years old.
We know that in 5 years, Aaron will be twice Eli's age, so:
x + 13 = 2(x + 5)
x + 13 = 2x + 10
13 = x + 10
x = <<13-10=3>>3
So Eli is currently 3 years old.
In 10 years, Eli will be 3 + 10 = <<3+10=13>>13 years old.
#### 13"
"In the year 2000, John was 3 times as old as his son Tim. In 2030, John will be 10 years older than twice Tim's age. How old will Tim be in 2030?","Let's say Tim's age in 2000 was x. Then, John's age in 2000 was 3x.
In 2030, 30 years later, Tim will be x + 30 and John will be 3x + 30.
We know that in 2030, John will be 10 years older than twice Tim's age.
3x + 30 = 2(x + 30) + 10
3x + 30 = 2x + 60 + 10
3x + 30 = 2x + 70
x = 40
So in 2030, Tim will be 40 + 30 = <<40+30=70>>70 years old.
#### 70"
"Rachel is 12 years younger than her brother Alex. In 10 years, Alex will be twice as old as Rachel is now. How old is Rachel now?","Let's say Rachel is r years old now. Then, Alex is r + 12 years old now.
In 10 years, Rachel will be r + 10 years old, and Alex will be r + 12 + 10 = r + 22 years old.
We know that in 10 years, Alex will be twice Rachel's current age, so:
r + 22 = 2r
22 = r
Rachel is <<22=22>>22 years old now.
#### 22"
"Liam and his sister Emma are saving up for a trip to an amusement park. Liam, who is 8 years older than Emma, already has $120 saved up. Emma, who is currently 10 years old, has saved $60. They estimate that in 5 years, they will have enough money to go to the amusement park if they continue saving at the same rate. How old will Liam be when they have saved enough money for the trip?","Emma is currently 10 years old, so Liam is 10 + 8 = <<10+8=18>>18 years old now.
In 5 years, Emma will be 10 + 5 = <<10+5=15>>15 years old.
At that time, Liam will be 18 + 5 = <<18+5=23>>23 years old.
#### 23"
"Olivia is 8 years younger than her brother Leo. In 5 years, Leo will be twice as old as Olivia is now. How old will Olivia be in 10 years if Leo is currently 19 years old?","Leo is currently 19 years old.
Olivia is 8 years younger than Leo, so she is currently 19 - 8 = <<19-8=11>>11 years old.
In 5 years, Leo will be 19 + 5 = <<19+5=24>>24 years old.
At that time, Leo will be twice Olivia's current age of 11. This means 24 = 2 * 11.
In 10 years, Olivia will be 11 + 10 = <<11+10=21>>21 years old.
#### 21"
John is 12 years younger than his sister Kate. Kate is currently twice the age John was 6 years ago. How old will Kate be in 5 years if John is 26 years old now?,"John is currently 26 years old. 
6 years ago, John was 26 - 6 = <<26-6=20>>20 years old.
Kate is currently twice the age John was 6 years ago, so Kate is 20 * 2 = <<20*2=40>>40 years old now.
In 5 years, Kate will be 40 + 5 = <<40+5=45>>45 years old.
#### 45"
"Olivia was 24 years old when her daughter Sophie was born. Olivia's mom, Grandma Lila, was 28 years older than Olivia when Sophie was born. Today, Sophie is one-fourth of Grandma Lila's age. How old is Grandma Lila today?","When Sophie was born, Olivia was 24 years old and Grandma Lila was 24 + 28 = <<24+28=52>>52 years old.
Let's say that today, Grandma Lila is x years old. 
Since Sophie is one-fourth of Grandma Lila's age today, Sophie must be x / 4 years old.
We also know that the difference between Grandma Lila's age and Sophie's age today is still 52 years.
So, x - x/4 = 52
3x/4 = 52
x = 52 * 4/3 = <<52*4/3=69.33333333333333>>69 years (rounded to the nearest whole number)
Therefore, Grandma Lila is 69 years old today.
#### 69"
"Tracy is 4 years older than her sister Megan. If Tracy was 12 years old 5 years ago, how old will Megan be in 3 years?","If Tracy was 12 years old 5 years ago, then she is currently 12 + 5 = <<12+5=17>>17 years old.
In 3 years, Tracy will be 17 + 3 = <<17+3=20>>20 years old.
Since Tracy is 4 years older than Megan, Megan is currently 17 - 4 = <<17-4=13>>13 years old.
In 3 years, Megan will be 13 + 3 = <<13+3=16>>16 years old.
#### 16"
"Olivia is currently 32 years old. Her daughter Sophie is 4 times younger than Olivia. If Sophie's daughter, Emma, is born when Sophie is 24 years old, how old will Olivia be when Emma celebrates her 10th birthday?","Since Sophie is 4 times younger than Olivia, and Olivia is 32, Sophie must be 32 / 4 = <<32/4=8>>8 years old now.
Sophie will be 24 when Emma is born, which is 24 - 8 = <<24-8=16>>16 years from now.  
In 16 years, Olivia will be 32 + 16 = <<32+16=48>>48 years old.
Emma's 10th birthday will be 10 years after that, so 10 + 16 = <<10+16=26>>26 years from now.
In 26 years, Olivia will be 32 + 26 = <<32+26=58>>58 years old.
#### 58"
